,distancia_promedio,zona,mes
0,42.86,Rockaway Park,3
1,35.13,Cambria Heights,3
2,32.35,Jamaica Bay,3
3,26.46,JFK Airport,3
4,23.64,Baisley Park,3
5,23.12,New Dorp/Midland Beach,3
6,22.46,Springfield Gardens South,3
7,22.42,South Jamaica,3
8,22.04,Bellerose,3
9,21.89,Stapleton,3
10,21.24,Country Club,3
11,19.52,Marine Park/Floyd Bennett Field,3
12,19.49,Coney Island,3
13,19.4,Jamaica,3
14,18.17,Starrett City,3
